Ordering,Experiment Name,Day of Experiment,TIFF Name,Link to Image,KP/ Grader 1 Score,LW/ Grader 2 Score,KC/ Grader 3 Score,XP/ Grader 4 Score,# of Graders Scored,4/4 Graders Agree?,3/4 graders agree,2/4 graders agree,50/50 Split,T/F if na of 50/50 Split,Final Score,Mode,Notes,,,,,,,,,,,
1,Alt Prime Rd. 1,1,20220505mouse1_OD_R_2_0_0000002_Structure_0001D1,https://drive.google.com/file/d/16tNrWXMBbGIJLVTsPcJhp7jgVACRNegl/view?usp=sharing,2,2,2,2,4,#NAME?,TRUE,TRUE,#NAME?,#NAME?,#NAME?,2,,,,,,,,,,,,
2,Alt Prime Rd. 1,1,20220505mouse1_OD_R_2_0_0000002_Structure_0002D1,https://drive.google.com/file/d/1E6yqvKyP7535UL_GEGFwMB_LsfavBr5p/view?usp=sharing,2,2,2,2,4,#NAME?,TRUE,TRUE,#NAME?,#NAME?,#NAME?,2,,,,,,,,,,,,
3,Alt Prime Rd. 1,1,20220505mouse1_OD_R_2_0_0000002_Structure_0003D1,https://drive.google.com/file/d/1O76_BFFW5AhLFKfsdh3fRPvqEhQv1Vrg/view?usp=sharing,2,2,2,2,4,#NAME?,TRUE,TRUE,#NAME?,#NAME?,#NAME?,2,,,,,,,,,,,,
4,Alt Prime Rd. 1,1,20220505mouse1_OD_R_2_0_0000002_Structure_0004D1,https://drive.google.com/file/d/17InvZsVYM3wxw1CQ68Jj7U-6UGwp2CEY/view?usp=sharing,2,2,2,2,4,#NAME?,TRUE,TRUE,#NAME?,#NAME?,#NAME?,2,,,,,,,,,,,,
5,Alt Prime Rd. 1,1,20220505mouse1_OD_R_4_0_0000009_Structure_0001D1,https://drive.google.com/file/d/1oQHTMcFO_RZ4HjMNfRzamPrpeFFis1oU/view?usp=sharing,1,0.5,1,0.5,4,#NAME?,FALSE,TRUE,#NAME?,#NAME?,#NAME?,1,,,,,,,,,,,,
6,Alt Prime Rd. 1,1,20220505mouse1_OD_R_4_0_0000009_Structure_0002D1,https://drive.google.com/file/d/1mtU3TLB5IODf-xBWLZ_mPu35HQvsjrlb/view?usp=drive_link,1,1,1,,3,#NAME?,TRUE,TRUE,#NAME?,#NAME?,#NAME?,1,,,,,,,,,,,,
7,Alt Prime Rd. 1,1,20220505mouse1_OD_R_4_0_0000009_Structure_0003D1,https://drive.google.com/file/d/1w_pQSRD31zRuvz49ekXdmLEfLlikcpf5/view?usp=sharing,2,2,1,2,4,#NAME?,TRUE,TRUE,#NAME?,#NAME?,#NAME?,2,,,,,,,,,,,,
8,Alt Prime Rd. 1,1,20220505mouse1_OD_R_4_0_0000009_Structure_0004D1,https://drive.google.com/file/d/1MDZSz-goWbY9afJAjOb3JEZkQHdHt6qy/view?usp=drive_link,2,2,0.5,,3,#NAME?,FALSE,TRUE,#NAME?,#NAME?,#NAME?,2,,,,,,,,,,,,
9,Alt Prime Rd. 1,1,20220505mouse2_OD_R_2_0_0000009_Structure_0001,https://drive.google.com/file/d/1_6p84kHnBbg8dqBRDHkadbBYQlexQBqf/view?usp=sharing,2,2,3,2,4,#NAME?,TRUE,TRUE,#NAME?,#NAME?,#NAME?,2,,,,,,,,,,,,
10,Alt Prime Rd. 1,1,20220505mouse2_OD_R_2_0_0000009_Structure_0002,https://drive.google.com/file/d/1r0qbYe1s1sX2BP6kMRo3wQGGt8SldcpJ/view?usp=drive_link,1,2,2,2,4,#NAME?,TRUE,TRUE,#NAME?,#NAME?,#NAME?,2,,,,,,,,,,,,
