Ordering,Tiff,Score,KP,LW,SJ,check
1,20190710mouse1_OD_L_2_0_0000353_Structure_0001 RR 49.TIFF,0,0,0,0,x
2,20190710mouse1_OD_L_2_0_0000390_Structure_0001 rr56.TIFF,0,0,0,0,x
3,20190710mouse1_OS_L_2_0_0000343_Structure_0001 LR 49.TIFF,0,0,0,0,x
4,20190710mouse1_OS_L_2_0_0000400_Structure_0001lr56.TIFF,0,0,0,0,x
5,20190710mouse2_OD_L_2_0_0000354_Structure_0001 RR49.TIFF,0,0,0,0,x
6,20190710mouse2_OD_L_2_0_0000388_Structure_0001 RR56.TIFF,0,0,0,0,x
7,20190710mouse2_OS_L_2_0_0000364_Structure_0001 LR49.TIFF,0,0,0,0,x
8,20190710mouse2_OS_L_2_0_0000378_Structure_0001 LR56.TIFF,0,0,0,0,x
9,20190710mouse3_OD_L_2_0_0000315_Structure_0001 RR49.TIFF,0,0,0,0,x
10,20190710mouse3_OD_L_2_0_0000410_Structure_0001 RR56.TIFF,0,0,0,0,x
11,20190710mouse3_OS_L_2_0_0000303_Structure_0001 LR 49.TIFF,0,0,0,0,x
12,20190710mouse3_OS_L_2_0_0000420_Structure_0001 LR 56.TIFF,0,0,0,0,x
13,20190919mouse6_OD_L_2_0_0000016_Structure_0001 RR2.TIFF,NA,NA,NA,NA,x
14,20190920mouse2_OD_L_2_0_0000036_Structure_0001 RR 55.TIFF,0,0,0,0,x
15,20190920mouse4_OD_L_2_0_0000026_Structure_0001 RR 55.TIFF,0,0,0,0,x
16,20190920mouse5_OD_L_2_0_0000036_Structure_0001 RR 55.TIFF,0,0,0,0,x
17,20190925mouse11_OD_L_2_0_0000006_Structure_0001 RR 1.TIFF,0,0,0,0,x
18,20190925mouse11_OD_L_2_0_0000026_Structure_0001 RR 55.TIFF,0,0,0,0.5,x
19,20190925mouse4_OD_L_2_0_0000036_Structure_0001 rr35.TIFF,0,0,0,0.5,x
20,20190925mouse8_OD_L_2_0_0000036_Structure_0001 rr35.TIFF,0,0,0,0,x
233,20200421mouse22_OD_L_2_0_0000156_Structure_0001 RR54.TIFF,0.5,0.5,0.5,0,0
22,20200225mouse1_OD_L_2_0_0000016_Structure_0001 rr 0.TIFF,0,0,0,0,x
23,20200225mouse1_OD_L_2_0_0000026_Structure_0001 rr 10h.TIFF,0,0,0,0,x
24,20200225mouse10_OD_L_2_0_0000006_Structure_0001 rr 0.TIFF,0,0,0,0,x
25,20200225mouse10_OD_L_2_0_0000036_Structure_0001 rr 10h.TIFF,0,0,0,0,x
26,20200225mouse10_OD_L_2_0_0000056_Structure_0001 rr 1.TIFF,0,0,0,0,x
27,20200225mouse10_OD_L_2_0_0000066_Structure_0001 rr2.TIFF,0,0,0,0,x
28,20200225mouse2_OD_L_2_0_0000006_Structure_0001 rr 0.TIFF,0,0,0,0,x
234,20200421mouse4_OD_L_2_0_0000076_Structure_0001 rr28.TIFF,0.5,0.5,0.5,0,0
30,20200225mouse3_OD_L_2_0_0000016_Structure_0001 rr 0.TIFF,0,0,0,0,x
31,20200225mouse4_OD_L_2_0_0000006_Structure_0001 rr 0.TIFF,0,0,0,0,x
32,20200225mouse5_OD_L_2_0_0000016_Structure_0001 rr0.TIFF,0,0,0,0,x
33,20200225mouse6_OD_L_2_0_0000006_Structure_0001 rr 0.TIFF,0,0,0,0,x
34,20200225mouse7_OD_L_2_0_0000016_Structure_0001 rr 0.TIFF,0,0,0,0,x
35,20200225mouse8_OD_L_2_0_0000006_Structure_0001 rr 0.TIFF,0,0,0,0,x
36,20200225mouse8_OD_L_2_0_0000032_Structure_0001 rr 10h.TIFF,0,0,0,2,x
37,20200225mouse8_OD_L_2_0_0000056_Structure_0001 rr 1.TIFF,0,0,0,0,x
38,20200225mouse9_OD_L_2_0_0000016_Structure_0001 rr 0.TIFF,0,0,0,0,x
39,20200226mouse11_OD_L_2_0_0000006_Structure_0001 rr 0.TIFF,0,0,0,0,x
40,20200226mouse12_OD_L_2_0_0000016_Structure_0001 rr 0.TIFF,0,0,0,0,x
41,20200226mouse13_OD_L_2_0_0000006_Structure_0001 rr 0.TIFF,0,0,0,0,x
42,20200226mouse14_OD_L_2_0_0000016_Structure_0001 rr 0.TIFF,0,0,0,0,x
43,20200226mouse15_OD_L_2_0_0000006_Structure_0001 rr 0.TIFF,0,0,0,0,x
44,20200226mouse16_OD_L_2_0_0000016_Structure_0001 rr 0.TIFF,0,0,0,0,x
45,20200226mouse17_OD_L_2_0_0000006_Structure_0001 rr 0.TIFF,0,0,0,0,x
46,20200226mouse19_OD_L_2_0_0000006_Structure_0001 rr 0.TIFF,0,0,0,0,x
47,20200421mouse1_OD_L_2_0_0000006_Structure_0001 RR1.TIFF,0,0,0,0,x
48,20200421mouse1_OD_L_2_0_0000026_Structure_0001 RR14.TIFF,0,0,0,0,x
49,20200421mouse1_OD_L_2_0_0000050_Structure_0001 RR21.TIFF,0,0,0,0,x
50,20200421mouse1_OD_L_2_0_0000070_Structure_0001 rr28.TIFF,0,0,0,0,x
51,20200421mouse1_OD_L_2_0_0000100_Structure_0001 RR35.TIFF,0,0,0,0,x
52,20200421mouse1_OD_L_2_0_0000110_Structure_0001 RR42.TIFF,0,0,0,0,x
53,20200421mouse1_OD_L_2_0_0000130_Structure_0001 RR49.TIFF,0,0,0,0,x
54,20200421mouse1_OD_L_2_0_0000150_Structure_0001 RR54.TIFF,0,0,0,0,x
55,20200421mouse10_OD_L_2_0_0000146_Structure_0001 RR54.TIFF,0,0,0,0,x
56,20200421mouse13_OD_L_2_0_0000006_Structure_0001 RR1.TIFF,0,0,0,0,x
57,20200421mouse14_OD_L_2_0_0000016_Structure_0001 RR1.TIFF,0,0,0,0,x
58,20200421mouse14_OD_L_2_0_0000026_Structure_0001 RR14.TIFF,0,0,0,0,x
59,20200421mouse14_OD_L_2_0_0000056_Structure_0001 RR21.TIFF,0,0,0,0,x
60,20200421mouse14_OD_L_2_0_0000076_Structure_0001 rr28.TIFF,0,0,0,0,x
61,20200421mouse14_OD_L_2_0_0000096_Structure_0001 RR35.TIFF,0,0,0,0,x
62,20200421mouse14_OD_L_2_0_0000106_Structure_0001 RR42.TIFF,0,0,0,0,x
63,20200421mouse14_OD_L_2_0_0000126_Structure_0001 RR49.TIFF,0,0,0,0,x
64,20200421mouse14_OD_L_2_0_0000146_Structure_0001 RR54.TIFF,0,0,0,0,x
65,20200421mouse15_OD_L_2_0_0000006_Structure_0001 RR1.TIFF,0,0,0,0,x
66,20200421mouse15_OD_L_2_0_0000036_Structure_0001 RR14.TIFF,0,0,0,0,x
67,20200421mouse15_OD_L_2_0_0000046_Structure_0001 RR21.TIFF,0,0,0,0,x
68,20200421mouse15_OD_L_2_0_0000066_Structure_0001 rr28.TIFF,0,0,0,0,x
69,20200421mouse15_OD_L_2_0_0000116_Structure_0001 RR42.TIFF,0,0,0,0,x
70,20200421mouse15_OD_L_2_0_0000126_Structure_0001 RR49.TIFF,0,0,0,0,x
71,20200421mouse15_OD_L_2_0_0000156_Structure_0001 RR54.TIFF,0,0,0,0,x
72,20200421mouse16_OD_L_2_0_0000016_Structure_0001 RR1.TIFF,0,0,0,0,x
73,20200421mouse16_OD_L_2_0_0000026_Structure_0001 RR14.TIFF,0,0,0,0,x
74,20200421mouse16_OD_L_2_0_0000056_Structure_0001 RR21.TIFF,0,0,0,0,x
75,20200421mouse16_OD_L_2_0_0000076_Structure_0001 rr28.TIFF,0,0,0,0,x
76,20200421mouse16_OD_L_2_0_0000096_Structure_0001 RR35.TIFF,0,0,0,0,x
77,20200421mouse16_OD_L_2_0_0000106_Structure_0001 RR42.TIFF,0,0,0,0,x
78,20200421mouse16_OD_L_2_0_0000136_Structure_0001 RR49.TIFF,0,0,0,0,x
79,20200421mouse16_OD_L_2_0_0000146_Structure_0001 RR54.TIFF,0,0,0,0,x
80,20200421mouse17_OD_L_2_0_0000046_Structure_0001 RR21.TIFF,0,0.5,0,0,x
81,20200421mouse17_OD_L_2_0_0000066_Structure_0001 rr28.TIFF,0,0,0,0,x
82,20200421mouse2_OD_L_2_0_0000016_Structure_0001 RR1.TIFF,0,0,0,0,x
83,20200421mouse2_OD_L_2_0_0000026_Structure_0001 RR14.TIFF,0,0,0,0,x
84,20200421mouse2_OD_L_2_0_0000056_Structure_0001 RR21.TIFF,0,0,0,0,x
85,20200421mouse2_OD_L_2_0_0000076_Structure_0001 rr28.TIFF,0,0,0,0,x
