0,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190710mouse1_OD_L_4_90_0000363_Structure_0001 RA 49.png
0,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190710mouse1_OD_L_4_90_0000380_Structure_0001ra 56.png
0,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190710mouse1_OS_L_4_90_0000370_Structure_0001 LA 49.png
0,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190710mouse1_OS_L_4_90_0000370_Structure_0001 LA56.png
0,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190710mouse2_OD_L_4_90_0000344_Structure_0001 RA49.png
0,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190710mouse2_OD_L_4_90_0000398_Structure_0001 RA56.png
0,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190710mouse2_OS_L_4_90_0000338_Structure_0001 LA49.png
0,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190710mouse2_OS_L_4_90_0000408_Structure_0001 LA56.png
4,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190919mouse2_OD_L_4_90_0000006_Structure_0001 RA2.png
4,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190919mouse4_OD_L_4_90_0000006_Structure_0001 RA2.png
4,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190919mouse6_OD_L_4_90_0000006_Structure_0001 RA2.png
4,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190919mouse8_OD_L_4_90_0000016_Structure_0001 RA2.png
3,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190920mouse1_OD_L_4_90_0000016_Structure_0001 RA 1.png
0.5,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190920mouse1_OD_L_4_90_0000036_Structure_0001 RA 55.png
2,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190920mouse2_OD_L_4_90_0000006_Structure_0001RA 1.png
0,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190920mouse2_OD_L_4_90_0000026_Structure_0001 RA 55.png
2,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190920mouse4_OD_L_4_90_0000006_Structure_0001 RA 1.png
0,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190920mouse4_OD_L_4_90_0000036_Structure_0001 RA 55.png
1,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190920mouse5_OD_L_4_90_0000016_Structure_0001 RA 1.png
0,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190920mouse5_OD_L_4_90_0000026_Structure_0001 RA 55.png
3,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190925mouse1_OD_L_4_90_0000006_Structure_0001 RA2.png
0,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190925mouse1_OD_L_4_90_0000036_Structure_0001 ra 35.png
1,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190925mouse11_OD_L_4_90_0000016_Structure_0001 RA 1.png
0.5,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190925mouse11_OD_L_4_90_0000036_Structure_0001 RA 55.png
2,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190925mouse12_OD_L_4_90_0000006_Structure_0001 RA 1.png
0.5,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190925mouse12_OD_L_4_90_0000026_Structure_0001RA 55.png
1,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190925mouse14_OD_L_4_90_0000006_Structure_0001RA 1.png
3,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190925mouse15_OD_L_4_90_0000016_Structure_0001RA 1.png
2,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190925mouse15_OD_L_4_90_0000036_Structure_0001RA 55.png
4,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190925mouse17_OD_L_4_90_0000016_Structure_0001 RA 1.png
0,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190925mouse17_OD_L_4_90_0000026_Structure_0001 RA28.png
4,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190925mouse18_OD_L_4_90_0000006_Structure_0001 RA 1.png
0,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190925mouse18_OD_L_4_90_0000026_Structure_0001 RA28.png
3,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190925mouse19_OD_L_4_90_0000016_Structure_0001 RA 1.png
2,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190925mouse19_OD_L_4_90_0000036_Structure_0001 RA28.png
4,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190925mouse2_OD_L_4_90_0000016_Structure_0001 RA2.png
0.5,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190925mouse2_OD_L_4_90_0000026_Structure_0001 ra35.png
4,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190925mouse20_OD_L_4_90_0000006_Structure_0001 RA 1.png
2,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190925mouse4_OD_L_4_90_0000012_Structure_0001 RA2.png
0,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190925mouse4_OD_L_4_90_0000026_Structure_0001 ra35.png
1,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190925mouse5_OD_L_4_90_0000006_Structure_0001 RA2.png
1,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190925mouse5_OD_L_4_90_0000036_Structure_0001 ra35.png
4,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190925mouse6_OD_L_4_90_0000016_Structure_0001 RA2.png
1,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190925mouse6_OD_L_4_90_0000026_Structure_0001 ra35.png
1,/data/yue/pepple/classification/data/Images for AI analysis/AC_imgs_r512_c512/20190925mouse7_OD_L_4_90_0000006_Structure_0001 RA2.png
