Animal/ Eye,Sac Date OCT Score,L Day-7,L Day1,L Day2
20170314mouse1 (WT1),,,,
20170314mouse2 (WT2),,,,
20170314mouse3/ 3a (WT3),,,,
20170314mouse4 (A91/50110),,,,
20170314mouse5 (A92/ 50104),,,,
20170320mouse1 (WT4),,,,
20170320mouse2 (WT5),,,,
20170320mouse3 (50103),,,,
20170320mouse4 (50108),,,,
20170320mouse5 (50102),,,,
20160830mouse1,0.5,,,
20160830mouse2,1,,,
20160830mouse3,0.5,,,
20160830mouse4,0,,,
20160830mouse5,0.5,,,
20160902mouse6,0.5,,,
20160902mouse8,0.5,,,
20160902mouse9,0,,,
20161018mouse8,3,,,
20161018mouse6,0,,,
20161018mouse5,0.5,,,
20161018mouse7,0,,,
20161018mouse1,4,,,
20161018mouse2,4,,,
20161018mouse3,4,,,
20161018mouse4,0.5,,,
20161122mouse8,0,,,
20161122mouse5,0,,,
20161122mouse4,0,,,
20161122mouse3,0,,,
20161122mouse2,0,,,
20161122mouse1,0.5,,,
20170417mouse1,0,,,
20170417mouse2,0,,,
20170417mouse3,,,,
20170417mouse4,0,,,
20170417mouse5,0,,,
20170417mouse6,0,,,
20170612mouse1,3,0,0.5,
20170612mouse3,4,0.5,0,
20170612mouse4,4,0,0,
20170612mouse5,3,0,0,
20170612mouse6,4,0.5,0,
20170612mouse8,0.5,0,0,0
20170612mouse9,0,0,0,0
20170612mouse10,4,0,0,0
20170703mouse1,2,0,0,0
20170703mouse2,0.5,0,0,
20170703mouse3,2,0.5,0,
20170703mouse4,1,0,0,0
20170703mouse5,1,0,0,
20170703mouse6,2,0,N/A,0
20170703mouse7,4,0,0,
20170703mouse8,0.5,0,0,
20170703mouse9,0,0,0,0
20170703mouse10,0,0,0,
20170710mouse1,0,0,0,
20170710mouse2,4,0.5,0,
20170710mouse3,2,,0,
20170710mouse4,2,0,,
20170710mouse5,4,,0,
20170710mouse6,0.5,,,
20170710mouse7,2,,,
20170710mouse8,0.5,,0,
20170710mouse9,0,,,
20170717mouse1,1,,,
20170717mouse2,0.5,,0,
20170717mouse3,1,,0,
20170717mouse4,1,,,0
20170717mouse5,0.5,,,
20170717mouse6,0.5,,,
20170717mouse7,1,,,
20170717mouse8,3,,,
20170717mouse9,3,,,
20170717mouse10,0,,0,
20170731mouse1,0,,,
20170731mouse2,0.5,0,0,
20170731mouse3,0,,,
20170731mouse4,0,,,
20170731mouse5,0.5,,,
20170731mouse6,0,0,0,
20170731mouse7,0,0,0,
20170731mouse8,0.5,0.5,0,
20170731mouse9,0,0,0,
20170731mouse10,0,,,
20170807mouse1,0.5,,0,0
20170807mouse2,0,,,0
20170807mouse3,0,,0,
20170807mouse4,0,,,
20170807mouse5,0,,,
20170807mouse6,0,,0,0
20170807mouse7,0,,,
20170807mouse8,0.5,,0,
20170807mouse9,0,,0,
20170807mouse10,0,,0,0.5
20170814mouse1,0,0,0,0.5
20170814mouse2,0.5,,0,0
20170814mouse3,0.5,0,0,0
20170814mouse5,0,0,0,0
20170821mouse1,0,,,
20170821mouse2,0,,,
20170821mouse3,0,,,
20170821mouse4,0,,,
20170821mouse5,0,,,
20170821mouse6,0.5,,,
20170821mouse7,0,,,
20170821mouse8,0,0,0,
20170920mouse1,3,0,0,
20170920mouse2,0,0,0,
20170920mouse3,0.5,0,0,0
20170920mouse4,0,0,0,0
20170920mouse5,0,0,0,
20170927mouse6,0,0,0,0
20170927mouse7,0.5,0,0,
20170927mouse8,4,0,0,
20170927mouse9,0.5,0,0,0
20170927mouse10,0,0,0,
20171009mouse1,1,0,0,0
20171009mouse2,0,0,,
20171009mouse3,0.5,0,0,
20171009mouse4,0.5,0,,0
20171009mouse5,0.5,0,0,
20171009mouse6,0,0,0,0
20171011mouse7,4,0,0,0
20171011mouse8,0,0,0,
20171011mouse1,,0,,
20171011mouse2,,0,0,
20171011mouse3,,,,0
20171002mouse1,,0,0.5,
20171002mouse3,,0,0,
20171016mouse4,,0,0,
20171016mouse5,,0,0,
20171016mouse6,,0,0,
20171016mouse7,,0,0,
20171016mouse8,,0,0*,*no longer scoring corneal edema as 0.5
20171016mouse9,,0,0,
20171016mouse10,,0,0,
20171023mouse1,,0,0,0
20171023mouse2,,0,0,0
20171023mouse3,,0,0,0
20171023mouse4,,0,0,0
20171023mouse5,,0,0,0
20171023mouse7,,0,0,0
20171023mouse8,,0,0,0
20170906mouse1,,,,
20170906mouse2,,,,
20170906mouse3,,,,
20170906mouse4,,,,
20170906mouse5,,,,
20170906mouse6,,,,
20170905mouse1,,,,
20170905mouse5,,,,
20170905mouse6,,,,
20171027mouse1,,,,
20171027mouse2,,,,
20171026mouse1,,,,
20171026mouse2,,,,
20171026mouse3,,,,
20171026mouse4,,,,
20171030mouse1,4,0,0,0
20171030mouse2,4,0,0,
20171030mouse3,1,0,0,
20171030mouse4,0,0,0,0
20171030mouse5,0,0,0,0
20171030mouse6,4,0,0,
20171030mouse7,4,0,0,0
20171030mouse8,4,0,0,
20171030mouse9,4,0,0,0
20171106mouse1,4,0,0,0
20171106mouse2,4,0,0,0
20171106mouse3,0,0,0,0
20171106mouse4,3,,0,0
20171113mouse1,4,0,0,
20171113mouse2,4,0,0,
20171113mouse3,1,0,0,
20171113mouse4,3,0,0,
20171113mouse5,3,0,0,
20171127mouse1,,0,0,0
20171127mouse2,,0,0,0
20171127mouse3,,0,0,0
20171127mouse4,,0,0,
20171127mouse5,,0,0,0
20171127mouse6,,0,0,0
20171127mouse7,,0,0,0
20171127mouse8,,0,0,0
20171127mouse9,,0,0,
20171211mouse1,,0,0,0
20171211mouse2,,0,0,
20171211mouse3,,0,0,
20171211mouse4,,0,0,
20171211mouse5,,0,0,
20171211mouse6,,0,0,
20171211mouse7,,0,0,
20171211mouse8,,0,0,
20171227mouse1,,0,0,
20171227mouse2,,0,0,0
20171227mouse3,,0,0,
20171227mouse4,,0,0,0
20171227mouse5,,0,0,
20171227mouse6,,0,0,0
20171227mouse7,,0,0,
20171227mouse8,,0,0,
20180122mouse1,,,,
20180122mouse2,,,,
20180122mouse3,,,,
20180122mouse4,,,,
20180122mouse5,,,,
20180122mouse6,,,,
20180122mouse6,,,,
20180122mouse7,,,,
20180122mouse8,,,,
20180122mouse9,,,,
20180122mouse10,,,,
20180131mouse1,,0,0,0
20180131mouse2,,0,0,0
20180131mouse3,,0,0,0
20180131mouse4,,0,0,0
20180131mouse5,,0,0,0
20180315Ragmouse1,,,0,0
20180315Ragmouse2,,,0,0
20180315Ragmouse3,,,0,0
20180315Ragmouse4,,,0,0
20180315Ragmouse5,,,0,0
20180315Ragmouse6,,,0,0
20180315Ragmouse7,,,0,0
20180315Ragmouse8,,,0,0
20180315Ragmouse9,,,,0
20180321mouse1,,,,
20180321mouse2,,,,
20180321mouse3,,,,
20180321mouse4,,,,
